"","time","trap.id","nmales","ntrees"
"289",90,7,287,25
"290",86,8,282,24
"291",103,8,430,68
"292",70,18,57,8
"293",86,18,254,20
"294",97,18,292,16
"295",76,14,169,42
"296",96,5,343,82
"297",116,4,302,18
"298",91,18,286,12
"299",78,10,200,23
"300",85,19,368,249
"301",84,5,255,39
"302",81,14,261,55
"303",95,13,286,21
"304",92,3,357,56
"305",68,18,29,11
"306",77,14,177,31
"307",86,8,287,33
"308",102,24,348,48
"309",69,18,49,8
"310",78,18,204,16
"311",86,18,236,16
"312",74,20,160,36
"313",97,8,327,24
"314",85,9,252,47
"315",80,10,209,47
"316",91,14,295,34
"317",80,23,282,193
"318",91,19,374,232
"319",72,18,114,14
"320",74,18,122,13
"321",74,14,154,31
"322",77,14,172,34
"323",123,12,1211,127
"324",52,18,17,4
"325",92,13,243,23
"326",79,16,259,32
"327",72,16,98,22
"328",80,9,220,37
"329",78,16,223,33
"330",83,5,235,50
"331",105,7,468,106
"332",90,8,333,71
"333",122,6,1245,76
"334",110,18,281,19
"335",75,10,149,15
"336",79,15,254,171
"337",54,20,14,4
"338",77,14,166,36
"339",75,18,149,16
"340",62,16,17,8
"341",118,8,804,40
"342",89,14,286,37
"343",88,10,304,45
"344",85,10,242,32
"345",78,18,214,12
"346",85,14,266,46
"347",104,14,366,55
"348",70,18,76,12
"349",74,19,124,16
"350",65,13,9,8
"351",87,18,255,17
"352",79,18,209,15
"353",79,7,196,13
"354",93,12,305,30
"355",73,14,118,30
"356",84,23,281,14
"357",92,10,334,31
"358",68,18,36,7
"359",89,10,259,53
"360",87,10,259,53
"361",92,14,271,36
"362",80,18,243,20
"363",88,6,255,32
"364",80,8,241,43
"365",73,18,128,14
"366",106,13,488,74
"367",97,18,451,255
"368",80,18,238,14
"369",139,13,1088,55
"370",84,15,253,20
"371",72,18,99,12
"372",82,7,267,17
"373",92,10,277,19
"374",82,11,276,26
"375",101,16,398,56
"376",115,18,652,36
"377",71,18,89,13
"378",77,15,186,32
"379",76,10,191,31
"380",94,8,350,83
"381",73,8,124,32
"382",80,18,241,18
"383",82,20,277,23
"384",74,9,165,23
"385",80,13,233,21
"386",104,24,1035,357
"387",83,19,252,32
"388",111,21,2888,459
"389",85,14,257,35
"390",72,2,98,13
"391",83,18,238,17
"392",86,10,289,81
"393",88,14,287,45
"394",112,16,691,89
"395",86,10,242,23
"396",88,24,364,215
"397",70,18,68,7
"398",95,8,283,30
"399",73,18,119,14
"400",91,10,293,44
"401",80,13,246,21
"402",95,8,260,44
"403",57,10,20,9
"404",69,10,53,10
"405",88,18,280,19
"406",75,18,168,13
"407",80,18,237,15
"408",80,18,242,18
"409",103,20,338,15
"410",93,19,415,248
"411",84,18,288,15
"412",72,8,90,22
"413",83,18,227,18
"414",80,8,209,21
"415",78,2,213,16
"416",84,5,263,13
"417",62,18,13,5
"418",76,10,150,30
"419",71,18,98,12
"420",79,2,222,20
"421",79,14,181,30
"422",76,13,172,20
"423",97,10,285,42
"424",89,15,296,17
"425",69,2,51,16
"426",69,18,37,10
"427",86,10,271,20
"428",68,18,49,10
"429",70,18,73,12
"430",78,18,205,17
"431",73,18,106,13
"432",84,23,359,224
"433",88,10,295,39
"434",121,9,1845,92
"435",73,8,115,48
"436",93,14,393,252
"437",96,12,271,40
"438",92,10,284,14
"439",89,18,267,18
"440",91,16,273,38
"441",93,14,291,26
"442",78,10,195,15
"443",113,10,863,105
"444",74,8,118,30
"445",102,17,410,55
"446",38,13,4,2
"447",100,21,521,286
"448",78,16,198,29
"449",41,18,6,3
"450",71,18,84,17
"451",86,10,300,20
"452",80,18,244,19
"453",101,24,580,301
"454",112,14,483,64
"455",80,5,248,16
"456",78,15,216,34
"457",76,5,169,42
"458",76,10,152,36
"459",50,18,17,9
"460",79,14,202,50
"461",74,18,128,17
"462",48,8,3,5
"463",85,17,250,40
"464",83,18,243,12
"465",82,21,311,210
"466",86,19,268,36
"467",105,7,468,46
"468",74,13,106,21
"469",97,12,289,26
"470",59,18,16,4
"471",84,19,279,45
"472",75,16,180,28
"473",109,10,597,56
"474",50,18,17,4
"475",91,18,261,13
"476",89,19,410,220
"477",88,10,288,93
"478",64,16,13,6
"479",85,20,269,13
"480",84,21,266,38
"481",73,18,114,11
"482",80,10,232,42
"483",103,12,334,50
"484",66,16,17,6
"485",83,23,332,225
"486",69,18,48,8
"487",70,18,59,8
"488",67,18,29,9
"489",108,23,299,17
"490",65,24,9,5
"491",77,18,173,18
"492",76,8,165,27
"493",101,14,364,51
"494",81,18,257,14
"495",77,18,171,12
"496",59,18,17,7
"497",71,15,92,16
"498",77,18,178,20
"499",78,13,187,20
"500",58,18,10,7
"501",65,18,16,4
"502",70,18,70,9
"503",76,18,174,13
"504",83,8,249,43
"505",80,23,236,18
"506",96,5,294,31
"507",92,13,290,28
"508",72,14,106,27
"509",109,18,395,20
"510",79,10,200,61
"511",100,23,297,19
"512",76,10,169,20
"513",68,21,11,14
"514",82,18,245,14
"515",83,18,283,25
"516",83,15,263,22
"517",72,14,108,24
"518",80,15,217,14
"519",88,5,269,45
"520",69,8,43,13
"521",81,23,223,31
"522",125,10,1804,142
"523",79,13,183,17
"524",73,18,113,14
"525",120,18,1342,129
"526",103,22,904,340
"527",75,12,134,22
"528",103,7,258,23
"529",89,10,327,27
"530",87,14,281,41
"531",87,5,262,40
"532",72,20,104,10
"533",81,21,294,185
"534",91,23,277,14
"535",86,18,267,17
"536",70,18,75,7
"537",71,18,76,13
"538",103,23,908,335
"539",98,13,322,66
"540",78,18,212,16
"541",40,18,2,1
"542",95,11,259,36
"543",87,18,278,16
"544",85,8,258,27
"545",90,19,316,50
"546",88,16,312,35
"547",70,18,77,14
"548",105,18,367,17
"549",80,5,224,40
"550",51,13,14,7
"551",81,19,312,199
"552",119,14,1464,107
"553",75,16,170,34
"554",89,14,289,47
"555",83,10,274,44
"556",74,7,132,19
"557",80,22,302,199
"558",93,10,292,43
"559",67,18,26,9
"560",90,14,295,44
"561",104,8,394,78
"562",78,10,208,14
"563",85,18,272,16
"564",87,10,284,15
"565",80,19,291,193
"566",75,18,143,12
"567",89,10,284,24
"568",105,13,256,14
"569",87,10,277,22
"570",54,18,12,5
"571",81,19,284,210
"572",72,18,111,13
"573",88,5,314,36
"574",97,21,382,257
"575",80,18,249,15
"576",80,12,245,33
"577",121,8,1065,89
"578",70,18,67,11
"579",46,19,6,2
"580",74,18,111,11
"581",78,18,199,18
"582",93,16,457,240
"583",66,10,16,10
"584",86,18,289,12
"585",73,8,109,12
"586",72,10,114,35
"587",112,8,408,26
"588",68,14,32,28
"589",94,8,274,22
"590",87,23,370,221
"591",78,10,197,43
"592",80,18,234,14
"593",105,8,420,46
"594",92,14,266,38
"595",69,18,52,7
"596",92,21,370,239
"597",110,18,346,27
"598",76,5,179,43
"599",92,5,266,33
"600",80,23,242,22
"601",72,19,24,25
"602",82,18,260,22
"603",76,18,152,12
"604",119,7,1047,77
"605",77,8,192,40
"606",105,11,301,51
"607",66,18,27,6
"608",106,23,1498,362
"609",95,13,303,20
"610",84,14,270,45
"611",82,18,277,18
"612",87,18,259,19
"613",55,13,16,7
"614",85,18,303,12
"615",73,18,124,16
"616",65,18,17,6
"617",81,1,249,10
"618",114,14,356,60
"619",85,19,376,221
"620",93,18,305,21
"621",97,5,331,25
"622",81,7,245,21
"623",79,18,223,25
"624",84,18,272,14
"625",79,18,203,13
"626",84,5,280,43
"627",62,10,19,9
"628",73,18,116,14
"629",69,18,69,7
"630",86,7,257,39
"631",78,7,215,21
"632",82,8,273,29
"633",103,3,283,24
"634",124,8,607,57
"635",95,18,317,18
"636",74,10,132,20
"637",78,19,238,192
"638",99,15,336,18
"639",83,14,254,36
"640",81,7,248,16
"641",79,12,215,43
"642",79,7,205,18
"643",78,18,201,14
"644",66,18,20,5
"645",50,18,16,8
"646",74,18,117,16
"647",66,10,14,8
"648",117,18,595,28
"649",78,10,175,44
"650",78,18,213,13
"651",90,20,280,22
"652",72,24,23,32
"653",69,18,55,12
"654",85,14,308,37
"655",91,8,226,20
"656",74,10,136,24
"657",102,10,415,65
"658",84,8,257,69
"659",70,18,72,10
"660",83,23,367,221
"661",67,20,31,8
"662",87,16,414,237
"663",69,9,60,20
"664",76,7,159,13
"665",71,18,98,8
"666",70,18,58,12
"667",45,18,3,2
"668",77,16,185,28
"669",44,18,2,5
"670",81,18,242,15
"671",81,7,232,17
"672",70,5,71,10
"673",68,18,32,9
"674",79,13,214,17
"675",91,21,436,217
"676",71,14,94,20
"677",77,12,199,33
"678",94,8,347,40
"679",82,18,240,17
"680",83,18,261,20
"681",67,18,19,9
"682",87,10,300,34
"683",72,18,109,12
"684",54,18,16,4
"685",78,18,181,18
"686",69,18,51,9
"687",54,10,8,6
"688",89,5,288,31
"689",75,18,150,11
"690",91,19,383,253
"691",78,10,221,17
"692",73,18,113,11
"693",93,19,521,290
"694",71,18,100,15
"695",76,18,182,13
"696",81,18,265,20
"697",76,10,169,16
"698",90,18,280,23
"699",86,18,273,18
"700",99,14,351,56
"701",78,18,211,11
"702",71,18,101,9
"703",79,18,220,19
"704",70,8,82,30
"705",121,10,1154,89
"706",70,18,70,9
"707",77,8,194,44
"708",94,20,286,12
"709",89,13,274,61
"710",80,23,261,197
"711",95,8,292,23
"712",84,19,359,218
"713",85,10,258,21
"714",109,8,1019,107
"715",86,18,252,15
"716",60,10,14,6
"717",92,5,239,57
"718",69,18,49,10
"719",93,5,267,26
"720",90,18,292,18
"721",86,19,372,258
"722",95,22,379,239
"723",99,11,324,55
"724",102,21,746,301
"725",105,23,327,24
"726",78,18,199,17
"727",88,14,278,33
"728",89,14,270,41
"729",74,12,127,39
"730",61,10,15,8
"731",87,10,259,29
"732",105,10,300,36
"733",125,7,710,61
"734",77,10,188,20
"735",92,19,296,44
"736",86,5,294,65
"737",81,18,256,11
"738",81,23,225,17
"739",82,7,277,22
"740",46,16,5,5
"741",110,10,562,37
"742",92,14,299,42
"743",75,18,163,12
"744",78,18,193,14
"745",103,15,379,100
"746",67,18,18,4
"747",76,18,172,16
"748",84,18,272,15
"749",68,18,37,6
"750",71,8,97,22
"751",77,18,176,14
"752",78,18,199,13
"753",78,18,216,19
"754",38,22,2,2
"755",77,16,182,34
"756",80,18,244,12
"757",93,13,262,15
"758",114,12,660,107
"759",83,18,244,16
"760",79,14,206,33
"761",76,18,152,16
"762",78,1,203,24
"763",77,18,203,21
"764",87,13,260,23
"765",80,7,234,17
"766",77,18,163,16
"767",76,16,149,24
"768",119,5,1030,59
"769",96,19,382,238
"770",66,10,25,15
"771",70,18,61,14
"772",79,18,225,17
"773",72,18,92,11
"774",94,16,404,232
"775",97,12,341,33
"776",69,18,59,10
"777",106,7,420,23
"778",100,18,268,26
"779",82,19,332,223
"780",82,5,266,50
"781",101,16,384,56
"782",83,19,255,39
"783",76,14,169,36
"784",71,18,98,10
"785",76,5,178,30
"786",131,10,924,55
"787",100,8,342,23
"788",70,18,65,11
"789",100,11,316,49
"790",73,14,129,23
"791",80,18,217,13
"792",50,18,18,3
"793",69,14,65,17
"794",82,19,324,209
"795",78,3,192,26
"796",81,18,246,12
"797",68,18,38,11
"798",92,14,251,34
"799",77,18,194,11
"800",76,14,152,33
"801",94,12,315,27
"802",71,18,84,11
"803",70,18,71,12
"804",77,18,189,12
"805",87,13,271,28
