"","time","trap.id","nmales","ntrees"
"1",84,6,281,18
"2",82,99,271,55
"3",75,27,131,12
"4",71,35,98,33
"5",74,16,132,13
"6",64,14,19,10
"7",77,37,181,15
"8",80,11,236,26
"9",53,27,21,7
"10",67,21,31,7
"11",44,37,3,3
"12",73,71,143,15
"13",70,3,59,8
"14",58,58,16,11
"15",73,27,117,16
"16",53,81,18,6
"17",65,14,17,6
"18",74,15,116,25
"19",75,53,143,29
"20",64,57,12,14
"21",88,71,292,16
"22",76,22,163,21
"23",67,6,18,13
"24",78,86,217,181
"25",90,55,420,257
"26",86,27,259,15
"27",74,14,31,36
"28",70,37,82,14
"29",57,88,12,5
"30",79,86,292,200
"31",74,67,19,24
"32",69,27,66,10
"33",43,6,3,3
"34",72,27,113,12
"35",72,59,114,23
"36",80,14,216,41
"37",74,86,121,18
"38",68,35,37,23
"39",81,90,254,9
"40",55,71,18,7
"41",56,24,11,5
"42",80,71,214,18
"43",71,86,21,20
"44",73,6,126,12
"45",75,5,157,7
"46",74,44,142,25
"47",55,65,17,15
"48",81,35,247,20
"49",59,37,12,6
"50",55,15,18,8
"51",75,9,129,15
"52",51,10,20,12
"53",71,35,89,28
"54",68,18,36,7
"55",73,6,102,34
"56",76,27,184,13
"57",51,27,15,9
"58",70,97,75,18
"59",80,23,295,182
"60",72,35,95,33
"61",83,27,250,16
"62",72,59,96,28
"63",48,33,3,5
"64",47,6,5,7
"65",60,94,9,8
"66",72,95,95,21
"67",70,3,61,8
"68",78,8,193,41
"69",53,67,14,10
"70",66,71,10,9
"71",65,38,18,8
"72",72,44,111,19
"73",74,6,137,14
"74",57,92,13,5
"75",43,80,2,3
"76",74,27,131,12
"77",69,39,46,13
"78",74,27,124,15
"79",47,57,4,6
"80",77,53,70,64
"81",79,37,210,18
"82",59,6,12,4
"83",70,27,78,7
"84",81,16,287,208
"85",78,21,212,49
"86",63,9,8,8
"87",76,14,179,21
"88",71,86,19,24
"89",72,71,113,11
"90",72,80,93,13
"91",72,27,111,15
"92",52,49,9,6
"93",75,67,134,42
"94",70,71,69,11
"95",76,27,147,14
"96",74,59,150,27
"97",76,59,152,31
