"","time","trap.id","nmales","ntrees"
"1",68,52,25,6
"2",54,5,15,4
"3",50,38,21,5
"4",45,94,2,4
"5",43,80,3,4
"6",68,55,36,11
"7",60,13,13,10
"8",43,17,4,4
"9",46,4,3,5
"10",76,11,59,54
"11",55,45,16,18
"12",86,79,275,36
"13",41,8,4,4
"14",51,14,16,15
"15",44,2,3,1
"16",61,37,13,12
"17",53,14,14,8
"18",67,64,25,19
"19",68,88,46,15
"20",44,26,8,4
"21",67,13,12,10
"22",59,99,14,8
"23",50,7,14,7
"24",50,2,19,5
"25",62,93,18,8
"26",51,25,14,6
"27",41,22,4,2
"28",69,91,59,19
"29",55,26,14,9
"30",43,45,5,4
"31",50,100,10,8
"32",55,74,15,7
"33",48,49,4,6
"34",55,89,18,6
"35",39,17,4,2
"36",41,39,1,2
"37",81,70,241,5
"38",52,15,16,8
"39",71,10,75,10
"40",53,96,10,6
"41",66,2,20,6
"42",48,31,4,3
"43",71,3,15,20
"44",46,55,7,3
"45",52,56,10,6
"46",48,24,4,4
"47",45,64,4,5
"48",41,8,3,2
"49",49,41,6,4
"50",60,28,15,7
"51",35,39,2,1
"52",50,80,13,7
"53",50,10,12,7
"54",50,12,23,5
"55",37,21,4,2
"56",69,7,43,7
"57",58,48,10,7
"58",68,2,26,15
"59",50,8,13,11
"60",73,13,37,35
"61",70,98,62,18
"62",58,32,5,8
"63",67,39,31,5
"64",68,92,31,12
"65",68,2,45,11
"66",50,44,13,5
"67",55,53,18,2
"68",44,66,8,3
"69",54,47,8,2
"70",69,66,41,12
"71",52,44,7,5
"72",51,2,14,9
"73",66,44,14,6
"74",54,25,18,6
"75",50,24,12,8
"76",59,53,12,6
"77",68,21,27,13
"78",55,10,8,10
"79",50,2,9,9
"80",50,21,14,8
"81",55,81,14,5
"82",50,41,8,11
"83",38,16,3,2
"84",46,55,9,2
"85",81,81,277,37
"86",62,77,15,6
"87",45,31,6,1
"88",68,7,35,8
"89",50,21,11,7
"90",70,98,70,15
"91",51,32,16,7
"92",61,10,18,8
"93",72,32,89,32
"94",69,57,14,16
"95",49,89,8,3
"96",70,18,83,29
"97",50,18,19,8
"98",70,22,15,11
"99",66,5,19,7
"100",39,41,2,2
"101",54,51,13,8
"102",58,7,14,6
"103",38,77,3,2
"104",50,44,11,7
"105",39,2,2,2
"106",50,2,13,10
"107",67,5,31,9
"108",35,45,1,2
"109",68,7,39,8
"110",58,18,15,9
"111",38,7,3,2
"112",74,47,33,31
"113",51,10,12,5
"114",66,40,22,7
"115",48,41,3,5
"116",44,77,7,4
"117",72,80,93,18
"118",45,2,4,4
"119",42,99,2,4
"120",67,55,21,6
"121",58,13,6,5
"122",67,31,15,8
"123",67,4,26,7
"124",58,6,14,8
"125",35,48,1,2
"126",74,78,37,34
"127",44,66,3,5
"128",45,59,6,4
"129",67,74,24,11
"130",43,46,5,5
"131",55,7,14,6
"132",37,39,1,1
"133",50,44,18,5
"134",72,52,117,20
"135",69,5,48,13
"136",48,47,4,9
"137",54,14,12,14
"138",71,37,80,33
"139",50,41,17,10
"140",76,76,55,41
"141",42,68,4,2
"142",72,88,95,25
"143",39,8,1,4
"144",65,63,17,11
"145",50,8,8,10
"146",53,7,14,7
"147",42,7,4,2
"148",42,82,6,4
"149",70,1,77,9
"150",48,80,5,8
"151",39,55,4,2
"152",50,39,11,4
"153",68,7,36,11
"154",46,17,2,5
"155",49,50,5,5
"156",53,4,18,5
"157",50,7,13,7
"158",77,72,167,32
"159",67,54,31,13
"160",53,8,12,4
"161",50,45,10,8
"162",50,39,19,3
"163",84,50,251,15
"164",50,39,9,4
"165",37,13,2,1
"166",50,2,12,8
"167",42,80,2,2
"168",56,4,11,8
"169",38,93,3,4
"170",46,2,6,5
"171",42,44,5,4
"172",70,5,75,28
"173",61,71,17,10
"174",52,51,15,8
"175",41,58,4,3
"176",50,8,6,7
"177",93,73,396,237
"178",55,17,8,10
"179",68,22,11,12
"180",61,75,7,7
"181",46,68,5,3
"182",48,38,5,4
"183",77,62,51,51
