"","time","trap.id","nmales","ntrees"
"290",69,62,71,15
"291",75,70,172,11
"292",65,42,19,11
"293",72,63,99,23
"294",62,80,12,6
"295",63,69,15,4
"296",77,82,66,64
"297",78,28,189,45
"298",67,27,25,7
"299",65,80,24,6
"300",64,25,11,8
"301",55,48,15,7
"302",55,20,19,6
"303",71,69,73,12
"304",82,38,285,25
"305",82,100,293,204
"306",70,70,65,9
"307",49,81,7,9
"308",69,39,54,9
"309",73,70,119,11
"310",51,70,14,8
"311",75,69,134,16
"312",71,38,103,11
"313",64,68,13,7
"314",78,72,242,182
"315",76,72,51,54
"316",73,52,111,24
"317",60,27,15,11
"318",73,68,130,18
"319",67,35,23,15
"320",70,38,83,13
"321",71,26,81,14
"322",80,70,233,16
"323",72,39,98,14
"324",76,69,167,15
"325",87,24,285,25
"326",71,62,89,19
"327",86,60,267,15
"328",77,26,192,17
"329",79,47,217,37
"330",68,62,29,11
"331",61,27,9,12
"332",73,33,112,20
"333",73,69,137,14
"334",79,29,218,16
"335",71,69,95,9
"336",73,69,114,14
"337",76,68,150,12
"338",71,14,80,16
"339",73,59,115,13
"340",76,63,157,29
"341",74,79,156,16
"342",51,19,17,9
"343",68,80,42,10
"344",82,83,348,217
"345",82,62,312,221
"346",78,28,203,17
"347",66,28,14,8
"348",71,72,21,14
"349",67,79,28,9
"350",79,91,244,198
"351",58,79,15,8
"352",68,38,31,12
"353",52,5,8,8
"354",73,62,108,31
"355",98,58,298,15
"356",74,79,147,16
"357",51,27,20,7
"358",69,28,64,12
"359",72,27,112,25
"360",85,67,309,15
"361",66,36,11,6
"362",71,15,96,15
"363",73,60,120,16
"364",74,30,135,31
"365",58,26,17,4
"366",63,47,15,9
"367",67,79,28,7
"368",75,69,164,13
"369",70,48,68,10
"370",70,51,53,17
"371",75,59,148,10
"372",85,68,301,18
"373",68,71,15,16
"374",68,28,40,28
"375",70,62,87,18
"376",80,38,241,29
"377",70,69,79,10
"378",80,27,246,16
"379",75,69,169,16
"380",77,69,192,16
"381",75,60,146,15
"382",74,39,160,15
"383",71,49,91,15
"384",90,79,290,15
"385",84,46,289,15
"386",72,92,16,24
"387",75,80,158,10
"388",38,69,4,2
"389",73,28,118,20
"390",80,93,244,183
"391",71,28,99,41
"392",79,68,208,14
"393",70,35,76,32
"394",79,28,226,44
"395",73,89,20,33
"396",71,27,87,31
"397",85,70,267,18
"398",78,99,253,178
"399",56,27,15,8
"400",58,63,7,7
"401",53,37,12,8
"402",75,72,43,40
"403",76,37,147,26
"404",70,69,61,10
"405",73,68,116,13
"406",80,73,274,169
"407",55,37,20,9
"408",70,28,51,31
"409",83,79,293,17
"410",71,51,81,15
"411",76,53,161,30
"412",68,67,6,14
"413",76,36,192,25
"414",55,16,14,10
"415",73,69,124,12
"416",69,39,58,16
"417",51,28,13,9
"418",66,30,10,14
"419",59,81,8,7
"420",50,8,17,9
"421",46,72,9,6
"422",83,8,262,45
"423",85,53,269,39
"424",69,53,66,21
"425",74,69,128,18
"426",71,59,100,9
"427",80,62,241,32
"428",42,69,6,4
"429",71,79,89,89
"430",77,52,193,32
"431",71,48,75,11
"432",51,28,15,8
"433",73,59,123,13
"434",79,69,233,15
"435",72,69,107,16
"436",80,72,249,179
"437",78,72,236,173
"438",70,70,79,10
"439",74,19,120,40
"440",76,26,167,18
"441",75,69,126,12
"442",91,59,259,10
"443",76,62,174,35
"444",71,72,17,17
"445",82,90,353,233
"446",76,36,176,31
"447",70,69,62,13
"448",73,70,134,11
"449",73,18,148,20
"450",76,29,147,32
"451",78,61,227,32
"452",77,18,194,37
"453",66,39,11,5
"454",86,27,250,21
"455",55,17,20,8
"456",69,79,55,9
"457",47,77,5,5
"458",79,35,218,34
"459",81,35,249,17
"460",80,82,274,210
"461",78,89,264,181
"462",72,70,103,12
"463",74,70,150,11
"464",46,29,6,5
"465",72,37,86,11
"466",68,69,33,8
"467",77,82,64,42
"468",79,39,229,50
"469",81,69,262,19
"470",78,39,203,14
"471",74,69,134,9
"472",60,59,29,7
"473",71,62,101,21
"474",70,72,69,22
"475",85,48,288,19
"476",70,8,71,14
"477",68,28,31,22
"478",37,72,4,1
"479",76,28,158,43
"480",50,19,9,9
"481",78,72,249,181
"482",54,59,15,9
"483",78,72,257,187
"484",40,28,2,2
"485",72,97,19,21
"486",70,17,77,25
"487",42,69,2,2
"488",68,64,13,8
"489",77,94,62,49
"490",65,78,31,5
"491",51,59,8,6
"492",51,62,9,7
"493",61,19,17,13
"494",56,16,8,7
"495",72,50,114,18
"496",79,72,231,189
"497",75,69,139,13
"498",70,69,84,13
"499",71,69,77,11
"500",50,28,7,10
"501",41,8,3,2
"502",75,73,39,48
"503",80,100,310,222
"504",82,69,271,18
"505",84,36,271,40
"506",39,39,3,4
"507",75,70,144,12
"508",67,28,22,12
"509",70,69,63,9
"510",68,8,53,20
"511",77,70,174,13
"512",65,58,11,6
"513",51,73,4,5
"514",84,50,270,30
"515",56,26,14,5
"516",80,33,267,22
"517",58,69,9,6
"518",61,71,16,8
"519",76,69,164,17
"520",81,41,278,35
"521",76,62,158,28
"522",78,39,185,14
"523",73,53,136,28
"524",83,72,343,191
"525",55,69,14,5
"526",68,26,34,12
"527",85,100,374,243
"528",74,69,132,13
"529",46,38,2,4
"530",69,69,59,15
"531",79,69,209,12
"532",87,36,268,28
"533",73,27,111,44
"534",63,51,11,4
"535",70,28,68,32
"536",82,18,272,32
"537",55,38,15,6
"538",87,59,254,20
"539",79,76,242,186
"540",46,37,4,2
"541",70,37,60,19
"542",71,69,100,10
"543",69,48,54,7
"544",68,38,44,15
"545",92,8,342,84
"546",69,69,51,10
"547",84,72,276,42
"548",80,60,232,20
"549",75,80,151,14
"550",70,100,17,9
"551",78,72,219,173
"552",40,72,1,3
"553",82,100,308,204
"554",47,62,7,8
"555",76,69,169,12
"556",68,51,27,21
"557",76,60,188,16
"558",71,36,89,10
"559",81,47,276,33
"560",75,80,141,13
"561",54,73,19,10
"562",69,62,64,20
"563",81,88,234,18
"564",58,59,16,5
"565",75,38,160,17
"566",75,28,142,36
"567",74,69,132,17
"568",61,27,17,13
"569",72,69,84,19
"570",76,70,168,12
"571",72,28,107,37
"572",73,20,111,38
"573",59,55,8,8
"574",66,60,21,4
"575",76,57,176,13
"576",70,5,78,10
"577",58,59,14,5
"578",75,69,151,17
"579",51,72,7,5
"580",73,69,137,11
"581",73,9,130,14
"582",77,9,163,22
"583",72,79,123,15
"584",74,78,144,15
"585",57,28,10,8
"586",60,73,8,8
"587",77,26,184,17
"588",71,69,101,11
"589",54,52,22,9
"590",78,72,260,189
"591",53,69,16,7
"592",76,15,183,20
"593",80,38,208,25
"594",80,26,242,22
"595",76,69,165,14
"596",68,69,36,9
"597",56,52,20,7
"598",72,48,108,12
"599",78,69,194,13
"600",77,69,179,14
"601",70,70,78,13
"602",68,52,38,23
"603",39,62,3,2
"604",67,50,23,12
"605",78,69,185,11
"606",87,46,282,22
"607",74,59,131,14
"608",54,69,11,6
"609",75,70,136,15
"610",72,18,100,30
"611",74,27,135,12
"612",52,28,22,5
"613",71,37,83,16
"614",73,70,101,18
"615",73,73,39,31
"616",75,78,144,13
"617",83,69,238,18
"618",75,18,150,48
"619",74,59,126,14
"620",83,35,267,15
"621",76,52,182,30
"622",74,27,145,29
"623",76,47,141,15
"624",81,62,262,32
"625",77,26,178,20
"626",69,39,63,11
"627",78,52,179,31
"628",74,78,116,13
"629",80,26,240,19
"630",41,28,3,2
"631",74,53,132,39
"632",82,71,228,29
"633",74,37,117,30
"634",61,68,12,4
"635",42,69,1,4
"636",79,70,230,22
"637",59,50,13,4
"638",69,69,57,7
"639",78,36,238,28
"640",78,69,177,19
"641",66,26,25,4
"642",60,39,14,8
"643",78,38,202,51
"644",82,69,251,14
"645",70,27,76,17
"646",78,72,245,164
"647",86,7,265,32
"648",50,28,18,11
"649",67,67,31,6
"650",58,53,8,8
"651",60,73,13,7
"652",76,80,182,13
"653",67,69,5,9
"654",72,90,16,27
"655",72,69,112,10
"656",62,33,9,11
"657",43,69,3,4
"658",72,67,114,9
"659",71,69,92,15
"660",84,26,275,16
"661",74,51,131,28
"662",74,89,42,44
"663",74,38,140,18
"664",73,29,122,26
"665",70,62,63,25
"666",77,28,188,18
"667",78,62,181,31
"668",79,38,219,19
"669",65,29,8,6
"670",73,60,123,9
"671",73,27,117,20
"672",54,99,11,9
"673",83,62,250,35
"674",57,29,14,11
"675",75,26,161,9
"676",82,82,377,223
"677",72,69,107,16
"678",72,42,101,34
"679",75,39,150,17
"680",61,69,14,5
"681",78,48,187,14
"682",76,59,160,11
"683",75,48,172,13
"684",72,69,106,16
"685",75,72,161,27
"686",65,70,17,7
"687",82,70,232,15
"688",73,69,130,17
"689",92,71,264,32
"690",76,39,163,25
"691",85,82,355,245
"692",79,72,268,183
"693",73,26,112,12
"694",70,69,64,13
"695",81,69,218,17
"696",72,69,106,17
"697",76,59,168,13
"698",76,25,159,13
"699",77,27,167,36
"700",51,40,18,6
"701",51,38,10,12
"702",42,17,1,5
"703",43,62,4,4
"704",72,68,85,8
"705",71,37,99,17
"706",52,70,15,7
"707",72,27,119,34
"708",81,69,266,11
"709",72,35,114,22
"710",56,69,8,8
"711",48,95,6,6
"712",51,39,13,6
"713",67,60,20,8
"714",52,9,17,9
"715",69,62,49,13
"716",70,69,66,8
"717",76,29,184,20
"718",85,29,259,29
"719",75,60,132,11
"720",53,23,15,6
"721",81,28,263,51
"722",80,23,244,17
"723",86,58,249,10
"724",76,28,180,20
"725",77,48,182,23
"726",57,26,13,6
"727",55,61,15,8
"728",77,62,201,33
"729",71,86,84,11
"730",73,69,121,11
"731",69,54,51,15
"732",55,99,17,6
"733",86,28,251,57
"734",70,33,77,17
"735",80,52,213,41
"736",80,29,239,16
"737",71,26,84,22
"738",70,54,63,33
"739",42,69,2,3
"740",87,70,280,16
"741",81,8,255,17
"742",83,27,249,42
"743",64,28,15,6
"744",55,27,18,5
"745",73,62,113,26
"746",72,79,103,14
"747",41,69,2,4
"748",79,72,237,190
"749",63,19,18,6
"750",68,40,44,12
"751",78,38,194,40
"752",68,36,36,12
"753",52,72,8,5
"754",77,70,180,12
"755",79,36,215,24
"756",68,38,34,9
"757",65,34,10,9
"758",64,19,15,9
"759",73,68,109,14
"760",83,60,259,11
"761",81,100,295,192
"762",78,59,184,11
"763",74,48,136,11
"764",75,38,135,10
"765",87,49,293,24
"766",75,63,116,48
"767",45,69,6,3
"768",71,88,104,11
"769",55,58,20,7
"770",79,38,206,33
"771",40,28,4,4
"772",76,73,62,40
"773",76,28,158,38
"774",76,69,162,12
"775",71,24,88,10
"776",53,69,14,5
"777",51,70,18,7
"778",50,26,12,5
"779",78,26,177,39
"780",75,16,150,22
"781",74,26,123,12
"782",75,69,145,13
"783",57,30,19,6
"784",42,69,4,1
"785",83,26,250,15
"786",55,40,20,5
"787",71,28,87,21
"788",66,69,18,6
"789",73,69,120,11
"790",76,27,177,49
"791",51,80,14,4
"792",55,70,17,5
"793",71,28,104,33
"794",75,69,157,16
"795",72,69,99,15
"796",76,59,151,14
"797",49,52,4,5
"798",53,44,13,12
"799",56,62,7,7
"800",84,26,277,23
"801",68,53,37,6
"802",55,70,16,8
"803",76,72,47,46
"804",78,72,225,172
"805",73,74,138,24
"806",82,48,244,14
"807",80,79,215,13
"808",83,69,270,14
"809",68,69,32,8
"810",70,59,74,12
